epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1945.64,0.75058,0.53949,1.76599,0.74334,0.67816,0.73839,0.54047,0.99805,1.23552,2.1092,0.00167528,0.00167528,0.00167528
43,1992.45,0.75146,0.54366,1.66657,0.73996,0.71264,0.70988,0.4743,1.07557,1.33678,2.20535,0.00166736,0.00166736,0.00166736
44,2040.12,0.75823,0.55944,1.69597,0.76381,0.72414,0.76349,0.51005,1.00905,1.05269,2.11081,0.00165944,0.00165944,0.00165944
45,2088.52,0.74653,0.52763,1.71926,0.87373,0.73563,0.80477,0.56455,1.01618,1.12414,2.01533,0.00165152,0.00165152,0.00165152
46,2136.95,0.7756,0.5596,1.76774,0.73782,0.71163,0.7186,0.51011,1.05328,1.0277,2.03083,0.0016436,0.0016436,0.0016436
47,2184.91,0.75762,0.53714,1.69402,0.65929,0.82759,0.78654,0.56952,0.97955,0.9519,2.08295,0.00163568,0.00163568,0.00163568
48,2232.92,0.7559,0.54996,1.78953,0.72627,0.73196,0.75886,0.533,1.00806,1.10284,2.19031,0.00162776,0.00162776,0.00162776
49,2280.06,0.73927,0.52478,1.68858,0.68168,0.74713,0.74199,0.53111,1.04911,1.10417,2.06921,0.00161984,0.00161984,0.00161984
50,2328.78,0.76082,0.5402,1.72735,0.71102,0.78161,0.75207,0.55664,0.97295,1.11194,2.00634,0.00161192,0.00161192,0.00161192
51,2377.22,0.76524,0.58357,1.70784,0.7404,0.8046,0.80111,0.56616,1.02655,1.01944,1.96076,0.001604,0.001604,0.001604
52,2424.66,0.77672,0.53751,1.72004,0.79071,0.68966,0.7446,0.53092,1.05422,1.07116,1.9424,0.00159608,0.00159608,0.00159608
53,2472.58,0.74903,0.5445,1.7686,0.71631,0.71264,0.67669,0.49829,1.02069,1.17236,2.00831,0.00158816,0.00158816,0.00158816
54,2520.8,0.75734,0.53835,1.70655,0.77029,0.67816,0.74464,0.53396,1.07096,1.16803,2.13223,0.00158024,0.00158024,0.00158024
55,2568.7,0.70562,0.50761,1.70497,0.73353,0.72776,0.7371,0.54028,1.02398,1.27554,2.22932,0.00157232,0.00157232,0.00157232
56,2616.71,0.7106,0.50129,1.63089,0.72716,0.8046,0.78321,0.57769,1.00112,0.94329,2.16038,0.0015644,0.0015644,0.0015644
57,2664.34,0.72262,0.51328,1.71448,0.64444,0.77011,0.72122,0.51084,1.09107,1.11001,2.20385,0.00155648,0.00155648,0.00155648
58,2712.84,0.72373,0.52169,1.65187,0.75971,0.78161,0.78053,0.53544,1.03914,1.11335,2.06698,0.00154856,0.00154856,0.00154856
59,2760.62,0.71135,0.50788,1.62689,0.66896,0.74713,0.69837,0.48148,1.05587,1.35709,2.16489,0.00154064,0.00154064,0.00154064
60,2809.62,0.71563,0.52243,1.66095,0.65003,0.78161,0.7314,0.5314,0.97004,1.18037,2.09023,0.00153272,0.00153272,0.00153272
61,2859.24,0.68824,0.49375,1.65701,0.70909,0.81251,0.75039,0.5288,0.97179,1.09714,2.23,0.0015248,0.0015248,0.0015248
62,2907.91,0.71334,0.5197,1.69686,0.84597,0.73563,0.80202,0.57291,0.97144,1.07792,1.98178,0.00151688,0.00151688,0.00151688
63,2955.17,0.68102,0.48764,1.59844,0.75106,0.76294,0.77428,0.52565,1.02369,1.17732,2.21228,0.00150896,0.00150896,0.00150896
64,3003.05,0.71329,0.50287,1.68022,0.76186,0.74713,0.77283,0.53192,1.00644,1.06893,2.10922,0.00150104,0.00150104,0.00150104
65,3053.16,0.69375,0.49857,1.63726,0.8212,0.64368,0.74088,0.53039,1.05196,1.0615,2.30845,0.00149312,0.00149312,0.00149312
